"","leadGram","gram","Record"
"29153","off","to",97
"12","with","your",96
"1863","all","this",96
"4179","after","that",96
"8075","that","im",96
"8966","tend","to",96
"9751","him","in",96
"12003","to","believe",96
"15250","with","our",96
"22409","and","make",96
"34861","was","my",96
"1782","out","for",95
"2623","it","didnt",95
"3170","find","the",95
"3534","to","ask",95
"4454","it","also",95
"5069","he","doesnt",95
"5287","with","us",95
"6336","i","loved",95
"11920","at","one",95
"12856","tell","me",95
"17927","use","of",95
"20879","with","you",95
"22114","her","own",95
"29829","one","is",95
"1283","the","reason",94
"5739","are","also",94
"7938","to","not",94
"13429","i","realized",94
"27789","friends","and",94
"1676","my","friend",93
"2275","are","still",93
"2417","didnt","want",93
"7000","point","of",93
"9311","do","that",93
"11551","however","i",93
"15630","the","person",93
"18479","the","little",93
"24683","about","what",93
"46751","but","for",93
"1308","so","he",92
"1665","is","always",92
"4181","be","an",92
"4337","got","the",92
"5191","the","sun",92
"8017","on","top",92
"8076","a","place",92
"12463","a","half",92
"15624","was","born",92
"23871","am","a",92
"92","and","thats",91
"817","the","biggest",91
"1320","out","with",91
"1511","much","to",91
"1653","and","got",91
"2315","and","your",91
"2707","i","put",91
"3084","listen","to",91
"3505","talk","to",91
"5690","form","of",91
"7753","to","add",91
"8898","know","it",91
"9855","few","years",91
"12477","put","on",91
"13018","way","i",91
"13075","a","person",91
"13441","i","heard",91
"14796","a","pretty",91
"21691","and","are",91
"24963","have","never",91
"40417","is","why",91
"39","see","what",90
"838","been","in",90
"1435","little","bit",90
"2121","im","a",90
"3206","if","there",90
"5753","middle","of",90
"6826","the","bible",90
"7600","the","original",90
"7690","as","to",90
"8145","and","over",90
"12796","they","did",90
"13379","the","internet",90
"14931","well","i",90
"19145","be","more",90
"31135","ago","i",90
"38930","told","her",90
"1416","get","it",89
"2790","that","all",89
"4495","and","on",89
"5606","is","how",89
"6251","about","to",89
"6988","to","understand",89
"8385","to","what",89
"12104","love","the",89
"13042","thought","it",89
"15580","not","going",89
"16838","thing","to",89
"18139","if","that",89
"20385","with","no",89
"37161","and","of",89
"49018","where","we",89
"1351","is","on",88
"1857","my","friends",88
"3556","at","her",88
"4534","came","out",88
