"","X","Combo","Record","leadGram","gram"
"496",116857,"know what to expect",11,"know what to","expect"
"497",117864,"i have to do",11,"i have to","do"
"498",119696,"i was the only",11,"i was the","only"
"499",123493,"fall in love with",11,"fall in love","with"
"500",130740,"this was the first",11,"this was the","first"
"501",131511,"one of the biggest",11,"one of the","biggest"
"502",133622,"come up with a",11,"come up with","a"
"503",137321,"there are plenty of",11,"there are plenty","of"
"504",155965,"i have a hard",11,"i have a","hard"
"505",162104,"get out of bed",11,"get out of","bed"
"506",163217,"in the late s",11,"in the late","s"
"507",165150,"that i had a",11,"that i had","a"
"508",168367,"wont be able to",11,"wont be able","to"
"509",168858,"the rest of our",11,"the rest of","our"
"510",172595,"i was supposed to",11,"i was supposed","to"
"511",172678,"when i got home",11,"when i got","home"
"512",192379,"the last time i",11,"the last time","i"
"513",224698,"if you dont have",11,"if you dont","have"
"514",240887,"kind of love that",11,"kind of love","that"
"515",268153,"the hands of the",11,"the hands of","the"
"516",283553,"i do not want",11,"i do not","want"
"517",287086,"i know i am",11,"i know i","am"
"518",313227,"looked at me and",11,"looked at me","and"
"519",353873,"the majority of the",11,"the majority of","the"
"520",1968,"i think its a",10,"i think its","a"
"521",3655,"in the direction of",10,"in the direction","of"
"522",3850,"is the first time",10,"is the first","time"
"523",4071,"and out of the",10,"and out of","the"
"524",7188,"at the university of",10,"at the university","of"
"525",7699,"it is difficult to",10,"it is difficult","to"
"526",8745,"feel like i have",10,"feel like i","have"
"527",9267,"the same time i",10,"the same time","i"
"528",9279,"to the best of",10,"to the best","of"
"529",10102,"a lot of other",10,"a lot of","other"
"530",11312,"i had to do",10,"i had to","do"
"531",13156,"not sure if i",10,"not sure if","i"
"532",13393,"the base of the",10,"the base of","the"
"533",14394,"i did not have",10,"i did not","have"
"534",14709,"this is not to",10,"this is not","to"
"535",16657,"the one thing that",10,"the one thing","that"
"536",16960,"i picked up the",10,"i picked up","the"
"537",16975,"let go of the",10,"let go of","the"
"538",17099,"all the way to",10,"all the way","to"
"539",20854,"that would have been",10,"that would have","been"
"540",21588,"the other day and",10,"the other day","and"
"541",22214,"it is time to",10,"it is time","to"
"542",22666,"that it is a",10,"that it is","a"
"543",23430,"when i went to",10,"when i went","to"
"544",23548,"you have to have",10,"you have to","have"
"545",23888,"the result is a",10,"the result is","a"
"546",24580,"it is the only",10,"it is the","only"
"547",25907,"me a lot of",10,"me a lot","of"
"548",26195,"one of the worst",10,"one of the","worst"
"549",29404,"to find out what",10,"to find out","what"
"550",30058,"up and down the",10,"up and down","the"
"551",30923,"that i was not",10,"that i was","not"
"552",31016,"had to go to",10,"had to go","to"
"553",31809,"when i was growing",10,"when i was","growing"
"554",32151,"i have come to",10,"i have come","to"
"555",33366,"over the past few",10,"over the past","few"
"556",33440,"is the only one",10,"is the only","one"
"557",33899,"the most important thing",10,"the most important","thing"
"558",33900,"the only thing i",10,"the only thing","i"
"559",34307,"that i would have",10,"that i would","have"
"560",36053,"be the first to",10,"be the first","to"
"561",39172,"to figure out how",10,"to figure out","how"
"562",42670,"it seems to be",10,"it seems to","be"
"563",45754,"rest of the day",10,"rest of the","day"
"564",51345,"a lot of work",10,"a lot of","work"
"565",51567,"to learn more about",10,"to learn more","about"
"566",53520,"to find a way",10,"to find a","way"
"567",53731,"want it to be",10,"want it to","be"
"568",53771,"the vast majority of",10,"the vast majority","of"
"569",55152,"one of the great",10,"one of the","great"
"570",56391,"you would like to",10,"you would like","to"
"571",58784,"a few of the",10,"a few of","the"
"572",62681,"in a couple of",10,"in a couple","of"
"573",64213,"a visit to the",10,"a visit to","the"
"574",66742,"as long as they",10,"as long as","they"
"575",67585,"the past few months",10,"the past few","months"
"576",69620,"in the summer of",10,"in the summer","of"
"577",69866,"am not going to",10,"am not going","to"
"578",69871,"i am not going",10,"i am not","going"
"579",70021,"in the last few",10,"in the last","few"
"580",76878,"to pick up the",10,"to pick up","the"
"581",78334,"i believe that the",10,"i believe that","the"
"582",79118,"in the car and",10,"in the car","and"
"583",79872,"and i wanted to",10,"and i wanted","to"
"584",79901,"was when i was",10,"was when i","was"
"585",82941,"some of the best",10,"some of the","best"
"586",86534,"it is one of",10,"it is one","of"
"587",92796,"but i dont know",10,"but i dont","know"
"588",94478,"supposed to be a",10,"supposed to be","a"
"589",95943,"had a great time",10,"had a great","time"
"590",97855,"i cant tell you",10,"i cant tell","you"
"591",98418,"time and time again",10,"time and time","again"
"592",98442,"to be in a",10,"to be in","a"
"593",99733,"it was a good",10,"it was a","good"
"594",102056,"time for me to",10,"time for me","to"
"595",106298,"to do the same",10,"to do the","same"
"596",107552,"i got to the",10,"i got to","the"
"597",107565,"i ended up with",10,"i ended up","with"
"598",109792,"in the world and",10,"in the world","and"
"599",117191,"anything to do with",10,"anything to do","with"
"600",119627,"are not going to",10,"are not going","to"
"601",122398,"a good idea to",10,"a good idea","to"
"602",124358,"this is the case",10,"this is the","case"
"603",133950,"have to go to",10,"have to go","to"
"604",135341,"in other words the",10,"in other words","the"
"605",136363,"it was such a",10,"it was such","a"
"606",154072,"on the edge of",10,"on the edge","of"
